route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
40E,East Maredpally,Koti Bus Terminal,31,26,Koti Bus Terminal,East Maredpally,4:00 AM,7:10 PM
36K,Mallikarjun Nagar,Koti Bus Terminal,40,35,Koti Bus Terminal,Mallikarjuna Nagar Bus Stop,6:28 AM,4:38 PM
9Y,,,21,0,Yusufguda Basthi,Central Bus Station,,
9V,,,16,0,Koti Bus Terminal,Gayatri Hills,,
9R,,,30,0,AG Colony Bus Stop,Charminar Bus Stop,,
9Q,,,51,0,Charminar,Suchitra X Road,,
9A,,,35,0,Sri Ramanagar,Central Bus Station,,
9,,,42,0,Charminar Bus Station,Jeedimetla Bus Stop,,
7V,,,24,0,Koti,Venkatapuram,,
7M,,,24,0,Secunderabad Railway Station Bus Stop,Mahatma Gandhi Bus Station,,
7I,,,22,0,Mahatma Gandhi Bus Station,Secunderabad Bus Stop,,
7H,High Court (Post Office),KPHB,38,40,K.P.H.B Main Road Bus Stop,High Court (Post Office),6:00 AM,8:30 PM
7C,,,28,0,Secunderabad Railway Station Bus Stop,Afzalgung Central Library,,
280C,Koti Bus Terminal,Ghatkesar,44,44,Ghatkesar Bus Stop,Koti Bus Terminal,6:30 AM,7:40 PM
252H,Afzalgunj Terminal,HCL Colony,27,29,HCL Colony,Afzalgunj Bus Terminus,6:00 AM,8:45 PM
236,HCL Colony,Nampally,36,36,Nampally,HCL Colony,8:15 AM,7:55 PM
224/113K,,,67,0,Rtc Bus Depot – Uppal,Miyapur bus depot,,
216L/W,,,73,0,ECIL Bus Terminal,Gachibowli Stadium,,
216,,,0,0,,,,
190RK,KPHB,Ramnagr Gundu,41,39,Ramnagar Gundu Bus Stop,K.P.H.B Main Road Bus Stop,6:05 AM,8:55 PM
190AG,AG Colony,Ramnagr Gundu,29,30,Ramnagar Gundu Bus Stop,AG Colony,6:55 PM,7:45 PM
156H,Mehdipatnam,NGOS Colony,40,44,NGOS Colony,Mehdipatnam Bus Stop,6:40 AM,6:05 PM
141,Nampally,Uppal Depot,36,33,Uppal Bus Depot,Public Gardens Bus Stop,5:05 AM,3:55 PM
137,Beerban Bagh,VST,25,24,VST,Beerban Bagh,5:20 AM,12:00 PM
136S,Ahobhila Mutt,Nampally,17,16,Nampally,Ahobhila Mutt,7:20 AM,5:15 PM
136N,Hema Nagar,Nampally,32,28,Public Gardens Bus Stop,Hema Nagar,6:10 AM,7:40 PM
136L,Nampally,Lalapet,29,27,Prashanth Nagar Bus Stop,Public Gardens Bus Stop,7:05 AM,7:40 PM
136H,Nampally Public Garden,ECIL Bus Terminal,42,41,ECIL Bus Terminal,Nampally Public Garden,6:00 AM,9:00 PM
136B,Kalyanpuri,Nampally,25,24,Public Gardens Bus Stop,Kalyanpuri,7:05 AM,6:40 PM
136,,,21,0,Nampally,Tarnaka,,
113Y,Yusufguda Basthi,Uppal Depot,38,36,Uppal Bus Depot,Yousufguda Basti (Setwin),5:25 AM,12:45 PM
113S,Sanath Nagar,Uppal Bus Stand,46,47,Uppal,Sanath Nagar,9:15 AM,4:45 PM
113M/W,Waverock,Uppal Bus Stand,59,55,Uppal,Waverock,2:10 AM,7:11 PM
113M/K,,,69,0,Uppal,Lingampally,,
113M/288,,,65,0,Uppal,Moinabad,,
113M/216,Uppal Depot,Lingampally,70,71,Lingampally Bus Station,Rtc Bus Depot – Uppal,6:00 AM,3:05 PM
113M,Uppal,Mehdipatnam,37,35,Mehdipatnam Bus Stop,Uppal,4:30 AM,9:51 PM
113KY,,,79,0,Chengicherla Bus Depot,Infotech,,
113K/L-1,,,68,0,JNTU,Infosys SEZ,,
113KJ,,,72,0,Infosys SEZ,JNTU,,
113K/L,Lingampally,Uppal Depot,71,75,Rtc Bus Depot – Uppal,Lingampally Bus Station,7:10 AM,7:50 AM
113K/J-2,JNTU,Boduppal Srinivas Nagar,57,57,Boduppal Srinivas Nagar,K.P.H.B Main Road Bus Stop,7:55 AM,6:10 PM
113K/J,JNTU,Uppal Depot,64,59,Chengicherala Bus Stop,K.P.H.B Main Road Bus Stop,6:40 AM,6:38 PM
113K,Kukatpally Bus Depot,Chengicherla Bus Depot,56,58,Chengicherla Bus Depot,Kukatpally Bus Depot,6:00 AM,9:00 PM
113A,,,50,0,Chengicherla X Roads,AG Colony,,
42,Tourist / Kachiguda,Secunderabad Bus Station,20,22,Secunderabad Bus Station 2,Tourist / Kachiguda,5:20 AM,7:50 PM
31,Imliban,Siti Nagar / Moulali,33,33,Siti Nagar / Moulali,Imliban,8:29 AM,4:29 PM
16T,Nampally,Sainikpuri,39,35,Sanikpuri Bus stop,Public Gardens Bus Stop,7:51 AM,5:51 PM
6T,VST,Mehdipatnam,20,18,Mehdipatnam Bus Stop,VST,5:45 AM,7:20 PM
6M,Moula Ali Railway Colony,Mehdipatnam,33,30,Mehdipatnam Bus Stop,Moula Ali Railway Colony,7:45 AM,5:45 PM
6K,Kushaiguda Depot,Mehdipatnam,47,42,Mehdipatnam Bus Stop,Kushaiguda Depot,7:50 AM,6:15 PM
6J,VST,Jubilee Hill Road No,32,27,Jubilee Hills Bus Stop,VST,8:08 AM,9:38 PM
6C,Gachibowli Pushpak,VST,33,35,VST,Gachi Bowli,6:50 AM,5:10 PM
3Z,Kandiguda Church,Nehru Zoological Park,49,52,Nehru Zoological Park,Kandiguda Church,5:32 AM,4:42 PM
3Y,Afzalgung Central Library,Kapra Circle,45,48,Kapra,Afzalgung Central Library,6:05 AM,9:31 PM
3R,National Geophysical Research Institute (NGRI),Koti Bus Terminal,30,28,Koti Bus Terminal,National Geophysical Research Institute (NGRI),6:20 AM,5:35 PM
3P,,,43,0,Yapral,Badi Chowdi,,
3N,Hema Nagar,Afzalgung Central Library,36,32,Afzal Gunj Bus Stop,Hema Nagar,5:05 AM,8:30 PM
3M,A.S. Rao Nagar,Afzalgunj Terminal,41,35,Afzalgunj Bus Terminus,A S Rao Nagar Bus Stop,5:31 AM,5:56 PM
3KJ,Kushaiguda,Jiyaguda,52,53,Jiyaguda,Kushaiguda Bus Stop,4:32 AM,3:32 PM
3K,,,43,0,Koti Bus Terminal,Kushaiguda,,
3JJ,Mahatma Gandhi Bus Station (MGBS),Ambedkar Nagar,49,55,Ambedkar Nagar,Mahatma Gandhi Bus Station (MGBS),5:00 AM,7:30 PM
3HN,Afzalgunj Terminal,Rampally,56,58,Rampally,Afzalgunj Bus Terminus,4:54 AM,6:24 PM
3H,Kushaiguda,Afzalgunj Terminal,42,42,Afzalgunj Bus Terminus,Kushaiguda Bus Stop,5:05 AM,5:12 PM
3G,Moula Ali Railway Colony,Afzalgunj Terminal,31,32,Afzalgunj Bus Terminus,Moula Ali Railway Colony,4:55 AM,6:25 PM
3E,Yapral,Afzalgunj Terminal,62,62,Afzalgunj Bus Terminus,Yapral Water Tanks Bus Stop,5:00 AM,5:55 PM
3D,Dammiguda,Afzalgunj Terminal,58,56,Afzalgunj Bus Terminus,Dammiguda,6:05 AM,6:35 PM
3C,ECIL,Charminar,44,48,Charminar Bus Station,ECIL,4:42 AM,1:19 PM
3B,,,35,0,Afzalgunj Bus Terminus,National Geophysical Research Institute (NGRI),,
3A,,,32,0,Chilakalaguda X Road,Koti Bus Terminal,,
2Z,TSRTC Rathifile Bus Station,Jubilee Bus Station,48,54,Sri Ram Colony Bus Stop,Rathifile Bus Station,5:10 AM,7:20 PM
2V,,,22,0,Musheerabad Bus Depot,Afzalgunj Bus Terminus,,
2C,Barkas,TSRTC Rathifile Bus Station,46,44,Rathifile Bus Station,Barkas,5:05 AM,10:30 AM
2,Musheerabad,Mahatma Gandhi Bus Station,23,18,Afzalgunj Bus Terminus,Musheerabad,10:45 AM,9:10 PM
198,Waverock,Apurupa Colony,47,48,Apurupa Colony,Waverock,7:20 AM,4:40 PM
195J,,,22,0,JNTU,Waverock,,
195E,,,38,0,Rythu Bazar Erragadda,Waverock,,
195W,,,30,0,HCU Bus Depot,Bachupally X Road,,
195D,,,28,0,Waverock,Miyapur bus depot,,
195,,,30,0,Bachupally X Road,Waverock,,
127VB,VBIT (Ascendas IT Park),Koti Bus Terminal,49,46,Koti Bus Terminal,VBIT (Ascendas IT Park),6:15 AM,6:40 PM
126M,,,23,0,Mehdipatnam,Rythu Bazar KP,,
126/300H,,,67,0,JNTU,Hayathnagar Bus Depot,,
126/300,,,68,0,Hayathnagar Depot,Rythu Bazar KP,,
38S/47V,,,53,0,VBIT (Ascendas IT Park),Safilguda,,
12,VBIT (Ascendas IT Park),Ramnagr Gundu,52,56,Ramnagar Gundu Bus Stop,VBIT (Ascendas IT Park),6:45 AM,4:25 PM
113I/V,,,67,0,Uppal,VBIT (Ascendas IT Park),,
35,VBIT (Ascendas IT Park),Apurupa Colony,58,55,Apurupa Colony,VBIT (Ascendas IT Park),6:10 AM,6:15 PM
11,ESI Hospital,VBIT (Ascendas IT Park),19,22,Ascendas,S R Nagar Bus Stop,7:00 AM,3:49 PM
21,Chilakalaguda,Venkatapuram,16,13,MES Colony Bus Stand,Secunderabad/Chilkalguda Circle Bus Stop,5:00 AM,2:45 PM
17,Kushaiguda,Chilakalaguda,27,27,Chilakalaguda,Kushaiguda Bus Stop,4:55 AM,10:15 PM
15,Kushaiguda,Secunderabad Railway Station,26,29,Secunderabad Railway Station Bus Stop,Kushaiguda Bus Stop,5:30 AM,8:20 PM
14,Secunderabad Bus Station,Gandhi Chowk (Lalapet),12,13,Lalapet Bus Stop,Secunderabad Bus Station 2,5:00 AM,3:35 PM
5,Chilakalaguda,Mehdipatnam,30,29,Mehdipatnam Bus Stop,Secunderabad/Chilkalguda Circle Bus Stop,4:10 AM,9:40 PM
861,,,30,0,Secunderabad Railway Station Bus Stop,Central Bus Station,,
508,Secunderabad Railway Station,Boduppal,15,15,Boduppal,Secunderabad Bus Stop,7:25 AM,7:00 PM
290T,,,34,0,Secunderabad Bus Station,Hayath Nagar Bus Station,,
290S,Secunderabad Bus Station,Sanghi Nagar,45,51,Sanghi Nagar,Secunderabad Bus Station 2,5:30 AM,6:45 PM
290Q,Secunderabad Bus Station,Hayathnagar Depot,36,40,Hayathnagar Depot,Secunderabad Bus Station 2,7:40 AM,5:10 PM
290K,Secunderabad Bus Station,Koheda,40,41,Koheda,Secunderabad Bus Station 2,5:30 AM,6:45 PM
290J,Jubilee Bus Station,Hayath Nagar Bus Station,34,37,Hayath Nagar,Jubilee Bus Station,5:50 AM,8:30 PM
290B,Secunderabad Bus Station,GSI Complex,20,23,GSI Complex,Secunderabad Bus Station 2,5:10 AM,6:35 PM
290A,Anajpur,Jubilee Bus Station,50,47,Jubilee Bus Station,Anajpur,9:50 AM,4:45 PM
284S,Prapap Singaram,Secunderabad Bus Station,31,32,Secunderabad Bus Station 2,Prapap Singaram,6:00 AM,9:25 PM
283N,Secunderabad Bus Station,Saibad X Road,72,64,Saibad X Road,Secunderabad Bus Station 2,7:05 AM,7:25 PM
281P,NFC Nagar,Secunderabad Bus Station,42,45,Secunderabad (Medchal),NFC Nagar,7:07 AM,6:42 PM
280S,NFC Nagar,Secunderabad Bus Station,42,42,Gurudwara(Secunderabad Bus Station),NFC Nagar,5:30 AM,10:40 PM
280N,NFC Nagar,Secunderabad Bus Station,42,41,Secunderabad Bus Station 2,NFC Nagar,6:25 AM,7:12 PM
280B,Secunderabad Railway Station,Bogaram,45,44,Bogaram,Secunderabad Bus Stop,5:00 AM,8:20 PM
280,Secunderabad Railway Station,Ghatkesar,37,36,Ghatkesar Bus Stop,Secunderabad Bus Stop,6:20 AM,8:45 PM
272,Secunderabad Railway Station,Secunderabad Railway Station,45,45,Bowrampet,Secunderabad Bus Stop,4:42 AM,5:48 PM
250P,Charlapally,Secunderabad Bus Station,26,25,Secunderabad (Medchal),Charlapally,5:55 AM,10:20 PM
242G,Keesara Gutta,Chilakalaguda,46,46,Chilakalaguda,Keesara Gutta,11:00 PM,10:00 PM
242B,Chilakalaguda,Bogaram,45,45,Bogaram,Secunderabad/Chilkalguda Circle Bus Stop,5:00 AM,9:10 PM
242A,Chilakalaguda,Anki Reddy Palli X Road,39,39,Anki Reddy Palli X Road,Secunderabad/Chilkalguda Circle Bus Stop,5:35 AM,7:35 PM
242,Keesara Gutta,Secunderabad Bus Station,39,41,Secunderabad (Medchal),Keesara Gutta,11:00 PM,10:00 PM
241T,Chilakalaguda,Yadagiripalli X Road,38,36,Thimmaipalle,Secunderabad/Chilkalguda Circle Bus Stop,5:00 AM,9:50 PM
235G,Chilakalaguda,Gowdavalli,30,30,Gowdavalli Bus Stop,Secunderabad/Chilkalguda Circle Bus Stop,5:45 AM,8:25 PM
230D,Air Force Academy,Chilakalaguda,40,41,Chilakalaguda,Air Force Academy,5:30 AM,5:56 PM
230A,Chilakalaguda,Air Force Academy,41,40,Air Force Academy,Secunderabad/Chilkalguda Circle Bus Stop,5:15 AM,7:50 PM
227,Bahadurpally X Road,Chilakalaguda,36,39,Chilakalaguda,Bahadurpally X Road,5:35 AM,4:55 PM
226M,Chilakalaguda,Keerthimahal / BHEL,46,41,Keerthimahal Bus Stop,Secunderabad/Chilkalguda Circle Bus Stop,5:35 AM,8:00 PM
187/224,,,67,0,Miyapur Bus Depot,NGO’s Colony Bus Stop,,
186L,,,44,0,LB Nagar Ring Road,Prashanth Nagar,,
186,,,62,0,NGO’s Colony Bus Stop,K.P.H.B Main Road Bus Stop,,
139,Mehdipatnam,Secunderabad Railway Station,33,34,Secunderabad Railway Station Bus Stop,Mehdipatnam,6:00 AM,4:25 PM
107VR,L.B. Nagar Ring Road,TSRTC Rathifile Bus Station,37,37,Rathifile Bus Station,LB Nagar Ring Road Bus Stop,9:13 AM,1:38 PM
107V/P,,,34,0,Saroor Nagar Bus Terminal,Rathifile Bus Station,,
107V,Secunderabad Railway Station,Complex Vanasthalipuram,35,35,Complex Bus Stop,Secunderabad Bus Stop,5:00 AM,8:20 PM
107T,Secunderabad Railway Station,Saroor Nagar,33,32,Saroor Nagar Bus Terminal,Secunderabad Bus Stop,5:55 AM,9:00 PM
107S,Saroor Nagar,Secunderabad Railway Station,30,34,Secunderabad Railway Station Bus Stop,Saroor Nagar,7:15 AM,5:55 PM
107P,Phanigiri Colony,Secunderabad Railway Station,26,31,Secunderabad Railway Station Bus Stop,Phanigiri Colony Bus Stop,4:45 AM,8:55 PM
107M,Secunderabad Railway Station,Old Maruthi Nagar,30,25,Old Maruthinagar Bus Stop,Secunderabad Bus Stop,5:40 AM,5:05 PM
107KV,,,32,0,Karmanghat,Secunderabad Railway Station,,
107K,Secunderabad Railway Station,Karmanghat,36,31,Karmanghat,Secunderabad Bus Stop,5:45 AM,6:10 PM
107J,Saroor Nagar,Secunderabad Bus Station,32,30,Secunderabad (Medchal),Saroor Nagar,5:53 AM,8:18 PM
107H,Saroor Nagar,Secunderabad Railway Station,30,34,Secunderabad Railway Station Bus Stop,Saroor Nagar,11:50 PM,11:15 PM
107G,Secunderabad Bus Station,Gayatri Nagar X Road,32,28,Gayatri Nagar X Road,Secunderabad Bus Station 2,5:45 AM,8:40 PM
107B,BN Reddy Nagar,Hal,46,50,Hal,BN Reddy Nagar Bus Stop,7:00 AM,9:15 PM
107,Saroor Nagar Bus Terminal,TSRTC Rathifile Bus Station,40,39,Rathifile Bus Station,Saroor Nagar Bus Terminal,6:45 AM,10:45 AM
104S,Secunderabad Bus Station,Almasguda,42,37,Almasguda,Secunderabad Bus Station 2,6:05 AM,8:20 PM
102K,Falaknuma Terminal,TSRTC Rathifile Bus Station,39,38,Rathifile Bus Station,Falaknuma Terminal,6:00 AM,9:00 PM
102C,Balapur,TSRTC Rathifile Bus Station,41,40,Rathifile Bus Station,Balapur,6:12 AM,9:32 AM
102,TSRTC Rathifile Bus Station,Lab Quarters Main,32,31,Midhani Bus Depot,Rathifile Bus Station,5:50 AM,7:59 PM
90V,NGOS Colony,Secunderabad Railway Station,28,26,Secunderabad Railway Station Bus Stop,NGO’s Colony Bus Stop,8:30 AM,4:30 PM
90K,Secunderabad Bus Station,Keshavagiri,33,37,Keshavagiri,Secunderabad Bus Station 2,5:45 AM,9:00 PM
86K,,,26,0,Secunderabad Bus Station,Koti Bus Terminus,,
86J,,,43,0,Puranapool Bus Stop,Secunderabad Bus Station 2,,
60,,,21,0,Secunderabad Bus Station,Secunderabad Bus Station,,
57S,Secunderabad Railway Station,Charminar,34,38,Charminar Bus Station,Secunderabad Bus Stop,7:55 AM,7:00 PM
51,ECIL,Secunderabad Bus Station,22,22,Secunderabad (Medchal),ECIL X Roads,6:00 AM,9:18 PM
44X,Gangaputhra Colony,Secunderabad Railway Station,9,9,Secunderabad Railway Station Bus Stop,Gangaputhra Colony,5:00 AM,6:03 PM
44L,Gangaputhra Colony,South Lalaguda,13,14,South Lalaguda,Gangaputhra Colony,5:45 AM,7:30 PM
43,Secunderabad Railway Station,Vemguda Colony,30,29,Vampuguda Bus Stop,Secunderabad Bus Stop,5:35 AM,9:00 PM
38EX,East Maredpally,Secunderabad Bus Station,21,23,Secunderabad (Medchal),East Maredpally,6:00 AM,10:07 AM
38A,Secunderabad Bus Station,RTC Colony,16,20,RTC Colony Bus Stand,Secunderabad Bus Station 2,6:00 AM,3:04 PM
38,Afzalgunj Terminal,Tukaram Gate,35,40,Thukaram Gate,Afzalgunj Bus Terminus,7:35 AM,8:40 PM
26,Old Bowenpally,Chilakalaguda,19,20,Chilakalaguda,Old Bowenpally Bus Depot,5:30 AM,11:20 AM
37,ECIL,Secunderabad Railway Station,25,25,Secunderabad Railway Station Bus Stop,ECIL X Roads,5:15 AM,5:55 PM
26N,Old Bowenpally,Chilakalaguda,16,17,Chilakalaguda,Old Bowenpally Bus Depot,4:56 AM,11:20 AM
25J,Jeedimetla Deewan Dhaba,Secunderabad Railway Station,22,22,Chilakalaguda,Jeedimetla Village Bus Stop,7:25 AM,8:05 PM
25B,Bank Colony,Secunderabad Railway Station,22,22,Chilakalaguda,Bank Colony,6:30 AM,8:30 PM
23B,Chilakalaguda,Bhudevi Nagar,16,13,Bhudevi Nagar,Secunderabad/Chilkalguda Circle Bus Stop,7:08 AM,9:29 PM
22K,Kowkur,Chilakalaguda,19,20,Chilakalaguda,water tank bus stop,5:20 AM,9:00 PM
22D,Chilakalaguda,MB Dargah,21,21,MB Darga,Secunderabad/Chilkalguda Circle Bus Stop,4:40 AM,12:55 PM
21W,West Venkatapuram,Chilakalaguda,14,17,Chilakalaguda,West Venkatapuram Last Bus Stop,5:30 AM,11:54 AM
21B,Bhudevi Nagar,Chilakalaguda,14,16,Chilakalaguda,Bhudevinagar Bus Stop,5:43 AM,8:02 PM
18V,Venkatreddy Nagar,Secunderabad Railway Station,17,18,Secunderabad Railway Station Bus Stop,Venkatreddy Nagar,6:40 AM,7:09 PM
18R,Secunderabad Bus Station,L N Colony,18,18,L N Colony,Secunderabad Bus Station 2,6:40 AM,8:23 PM
18C,Jubilee Bus Station,Chowdariguda,34,32,Chowdariguda,Jubilee Bus Station,6:00 AM,9:00 PM
18B,Uppal Depot,Secunderabad Bus Station,18,17,Secunderabad (Medchal),Uppal Depot,5:46 AM,10:44 PM
18/30,Uppal X Roads,Jagadgirigutta,46,45,Jagadgiri Gutta Bus Stop,Uppal X Road Bus Stop,6:50 AM,7:33 PM
17HN/47LI,,,73,0,Flag Stone Towers,ECIL,,
17HN,,,29,0,Secunderabad Bus Station 2,ECIL,,
17H/219,Gitam University,ECIL X Road Bus Terminal,82,81,ECIL,Gitam University,6:10 AM,1:45 PM
17H/10W,,,83,0,Waverock,ECIL,,
16R,ECIL X Raod To Uppal B.S,Uppal,27,27,Rathi File Secunderabad,ECIL X Road,6:10 AM,8:40 PM
16P,,,12,0,Prashanth Nagar,Secunderabad Railway Station,,
16C,Secunderabad Railway Station,ECIL,28,26,ECIL,Secunderabad Bus Stop,4:30 AM,10:10 PM
16A,Secunderabad(Towards Uppal),ECIL X Road Bus Terminal,35,32,ECIL X Road Bus Terminal,Secunderabad(Towards Uppal),4:30 AM,10:40 PM
14P,,,16,0,Secunderabad Railway Station Bus Stop,Prashanth Nagar Bus Stop,,
6S,Langer Houz,Secunderabad Railway Station,35,36,Secunderabad Railway Station Bus Stop,Langer Houz,6:35 AM,8:30 PM
3SS,,,24,0,Sultan Bazar Bus Stop,Secunderabad Bus Station,,
3S,Kachiguda Bus Station,Secunderabad Bus Station,21,19,Secunderabad (Medchal),Kachiguda Bus Station,6:00 AM,7:55 PM
2U,Secunderabad Bus Station,Uppuguda,33,34,Uppuguda Bus Stop,Secunderabad Bus Station 2,11:54 PM,11:33 PM
2D,MB Dargah,Charminar,55,55,Charminar Bus Station,MB Dargah,5:00 AM,6:33 PM
1P,,,26,0,Afzal Gunj Bus Stop,Secunderabad Railway Station,,
1K,Secunderabad Railway Station,Koti Bus Terminal,17,15,Koti Bus Terminus,Secunderabad Bus Stop,8:44 AM,9:14 PM
1J,Secunderabad Railway Station,Afzalgunj Terminal,25,24,Afzalgunj Bus Terminus,Secunderabad Bus Stop,6:20 AM,4:36 PM
1DS,Midhani Bus Depot,Secunderabad Bus Station,25,30,Secunderabad (Medchal),Midhani Bus Depot,7:35 AM,3:45 PM
1B,Jubilee Bus Station,Charminar,30,31,Charminar,Jubilee Bus Station,8:30 AM,9:30 PM
226E,Chilakalaguda,Patancheru Bus Terminal,58,57,Patancheru Bus Terminal,Secunderabad/Chilkalguda Circle Bus Stop,5:45 AM,11:00 PM
147W,,,67,0,ECIL Bus Terminal,Waverock,,
147,,,62,0,ECIL X Road,Allwyn Colony,,
49WI,Mehdipatnam,Secunderabad (Medchal),26,26,Secunderabad Bus Station 2,Mehdipatnam,6:20 AM,5:15 PM
49V,Erramanzil,Secunderabad Railway Station,17,16,Secunderabad Bus Stop,Erramanzil Bus Stop,7:16 AM,7:54 PM
49P,,,24,0,Secunderabad Bus Station 2,Public Gardens,,
49N,Nandi Nagar,Secunderabad (Medchal),16,16,Secunderabad Bus Station 2,Nandi Nagar,7:00 AM,7:50 PM
49L,MLA Colony,Secunderabad (Medchal),20,23,Secunderabad Bus Station 2,MLA Colony Bus Stop,8:40 AM,6:40 PM
49K,,,32,0,Secunderabad Bus Station 2,Kachiguda,,
49J,Jubilee Hills Check Post Towards Apollo,Secunderabad (Medchal),27,29,Secunderabad Bus Station 2,Jubilee Check Post,7:45 AM,7:30 PM
49E,Gachibowli Pushpak,Secunderabad Railway Station,44,41,Secunderabad Railway Station Bus Stop,Gachi Bowli,7:40 AM,6:16 PM
49A,Secunderabad (Medchal),Zaheer Nagar,21,23,Zaheer Nagar,Secunderabad (Medchal),7:45 AM,8:30 PM
49,,,22,0,Secunderabad Bus Station 2,Public Gardens,,
48,Afzalgunj Central Library,Safilguda,44,41,Safilguda,Afzal Gunj Bus Stop,6:50 AM,7:55 PM
47S,Shilparamam,Secunderabad (Medchal),37,34,Secunderabad Bus Station 2,Shilparamam Bus Stop,7:35 AM,6:10 PM
47K,Kondapur Bus Depot,Secunderabad (Medchal),39,39,Secunderabad Bus Station 2,Kondapur Bus Depot,4:45 AM,5:45 PM
47F,Film Nagar,Secunderabad (Medchal),32,30,Secunderabad Bus Station 2,Film Nagar,6:55 AM,6:45 PM
47C,Secunderabad Bus Station,Film Nagar,31,32,Film Nagar Bus Stop,Secunderabad Bus Station 2,5:20 AM,8:03 PM
46P,,,12,0,Parsigutta,Patigadda,,
45J,Jeedimetla,RTC X Roads,44,40,Musheerabad Bus Stop,Jeedimetla Bus Stop,5:01 AM,7:26 PM
45G,Jubilee Hill Road No.36 Odeesey,Ramnagar SBH,53,51,Ramnagar Bus Stop,Jubilee Hill Road No.36 Odeesey,6:35 AM,4:45 PM
45A,AG Colony,Badi Chowdi,36,34,Koti Bus Terminus,AG Colony,5:50 AM,3:48 PM
45,VST,ESI Hospital,32,30,SR Nagar Bus Stop,VST,6:30 AM,8:00 PM
22S,Sanath Nagar,Risal Bazar,41,39,sadhana mandhir bus stop,Sanath Nagar,6:05 AM,7:50 PM
17H/47LI,Flag Stone Towers,ECIL X Road Bus Terminal,75,73,ECIL,Flag Stone Towers,6:03 AM,9:03 PM
17H/10HEC,,,82,0,ECIL,Waverock,,
10Z,Nandamuri Basavatarakam Cancer Hospital,Secunderabad Railway Station,17,19,Secunderabad Bus Stop,Nandamuri Basavatarakam Cancer Hospital,7:25 AM,2:25 PM
10YF,Secunderabad Bus Station,Borabanda,32,30,Borabanda Bus Stand,Secunderabad Bus Station 2,2:00 AM,4:48 PM
10Y,Yusufguda Basthi,Secunderabad (Medchal),19,19,Secunderabad Bus Station 2,Yusufguda Basthi,6:05 AM,9:18 PM
10W,,,55,0,Secunderabad Bus Station 2,Waverock,,
10U,Jubilee Hill Road No.36 Odeesey,Uppal Bus Stand,39,37,Uppal,Jubilee Hill Road No.36 Odeesey,7:15 AM,7:15 AM
10R,Secunderabad Railway Station,Rehmath Nagar,21,21,Rehmath Nagar,Secunderabad Railway Station Bus Stop,4:50 AM,7:20 PM
10N,Nandi Nagar,Secunderabad Railway Station,20,22,Secunderabad Bus Stop,Nandi Nagar,5:45 AM,2:50 PM
10L,Secunderabad Bus Station,KPHB 4th Phase,44,46,KPHB 4th Phase,Secunderabad Bus Station 2,2:30 AM,6:03 PM
10KM,,,47,0,Secunderabad Bus Station 2,Malaysian Township,,
10KB,Bachupally,Secunderabad Bus Station,47,47,Secunderabad Bus Station 2,Bachupally,6:10 AM,6:10 AM
10K/J,,,44,0,Secunderabad Bus Station 2,Jagadgirigutta,,
10H/W,,,55,0,Secunderabad Bus Station 2,Flag Stone Towers,,
10H/224,,,58,0,Secunderabad Bus Station 2,Miyapur Depot,,
10H/25S,Suchitra,Kondapur Bus Depot,71,68,Kondapur Bus Depot,Suchitra,12:06 PM,1:22 PM
10H/219,Patancheru Bus Terminal,Secunderabad Bus Station,66,68,Secunderabad Bus Station 2,Patancheru Bus Station,6:35 AM,8:20 PM
10H/25I,,,66,0,Old Alwal (IG Statue),Kondapur Bus Depot,,
10H/17H,ECIL X Road Bus Terminal,Kondapur Bus Depot,71,75,Kondapur Bus Depot,ECIL,12:15 AM,9:00 PM
10H,Secunderabad Bus Station,Kondapur Bus Depot,46,48,Kondapur Bus Depot,Secunderabad Bus Station 2,12:05 AM,7:40 AM
10F,Borabanda,Secunderabad Bus Station,30,32,Secunderabad Bus Station 2,Borabanda Bus Stand,3:45 AM,8:40 PM
10B,,,27,0,Secunderabad Railway Station,Bharat nagar,,
10A/7S,Allwyn X Road (Near Miyapur),Secunderabad (Medchal),37,37,Secunderabad Bus Station 2,Allwyn Colony,5:00 AM,4:15 PM
10,Sanath Nagar Terminal,Secunderabad Bus Station,29,29,Secunderabad Bus Station 2,Sanath Nagar Bus Depot,3:15 AM,8:10 PM
4SY,,,48,0,Koti Bus Terminus,Yusufguda Basthi,,
