route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
245A,Chilakalaguda,Aushapur Village,28,29,Aushapur Village,Chilakalaguda,5:00 AM,8:55 PM
245,Chilakalaguda,Dayara,28,30,Nemuragomla,Chilakalaguda,4:45 AM,7:55 PM
117,ECIL X Road,Uppal Depot,26,28,Uppal Bus Depot,ECIL Cross Roads Bus Stop,6:50 AM,7:25 PM
211U,Uddamarri,Secunderabad Bus Station,42,41,Secunderabad Bus Station 2,Uddamarri,5:25 AM,9:50 PM
211T,Turkapally,Secunderabad Bus Station,37,36,Secunderabad Bus Station 2,Turkapally,5:45 AM,10:15 PM
211S,Secunderabad Bus Station,Shameerpet,31,32,Shameerpet,Secunderabad Bus Station 2,5:30 AM,9:35 PM
211R,Ravalkole,Secunderabad (Medchal),37,39,Secunderabad Bus Station 2,Ravalkole,5:30 AM,5:55 PM
211K,Kesavaram,Secunderabad Bus Station,50,53,Secunderabad Bus Station 2,Kesavaram,5:45 AM,9:05 PM
211J,Secunderabad (Medchal),Jaggamguda,36,37,Jaggamguda,Secunderabad (Medchal),5:00 AM,7:05 PM
211E,Secunderabad (Medchal),Hakimpet Bus Depot,19,20,Hakimpet Bus Stop,Secunderabad (Medchal),6:05 AM,8:20 PM
211D,Secunderabad Bus Station,Kolthur,37,38,Kolthur,Secunderabad Bus Station 2,5:10 AM,8:29 PM
211C,Secunderabad Bus Station,Keesara-ECIL X Road,32,33,Keesara Main Road,Secunderabad Bus Station 2,6:00 AM,6:50 PM
211B,Secunderabad Bus Station,Ponnal,38,39,Ponnal,Secunderabad Bus Station 2,5:00 AM,9:20 PM
211A,Aliabad,Secunderabad Bus Station,35,34,Secunderabad Bus Station 2,Aliabad,7:25 AM,6:20 PM
211,Hakimpet Bus Depot,Secunderabad (Medchal),22,22,Secunderabad Bus Station 2,Hakimpet Bus Stop,5:00 AM,9:25 PM
37B,Secunderabad (Medchal),Ambedkar Nagar,30,30,Ambedkar Nagar,Secunderabad (Medchal),4:30 AM,5:24 PM
28,Secunderabad (Medchal),NIMH,7,8,Hanuman Temple (Tirumalgherry),Secunderabad (Medchal),6:50 AM,5:10 PM
25S/90L,Suchitra,L,53,48,L.B. Nagar Ring Road,Suchitra,7:00 AM,9:55 PM
